JPT_KOD_JE	typ_rejestru	link_do_pobrania
020101_1	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/E84C86A0FE844BD39EB5C5FA4830BBBF.zip
020101_1	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/E84C86A0FE844BD39EB5C5FA4830BBBF.zip
020101_1	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/E84C86A0FE844BD39EB5C5FA4830BBBF.zip
020101_1	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/E84C86A0FE844BD39EB5C5FA4830BBBF.zip
020102_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/5E944DDA11FB45EAA55D09D9FA04061A.zip
020102_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/5E944DDA11FB45EAA55D09D9FA04061A.zip
020102_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/5E944DDA11FB45EAA55D09D9FA04061A.zip
020102_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/5E944DDA11FB45EAA55D09D9FA04061A.zip
020103_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/6AA98AC147AD41AD8D5B6E99A647BCC1.zip
020103_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/6AA98AC147AD41AD8D5B6E99A647BCC1.zip
020103_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/6AA98AC147AD41AD8D5B6E99A647BCC1.zip
020103_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/6AA98AC147AD41AD8D5B6E99A647BCC1.zip
020104_4	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/869B1B1DF3FF42249471DA080C1176B4.zip
020104_4	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/869B1B1DF3FF42249471DA080C1176B4.zip
020104_4	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/869B1B1DF3FF42249471DA080C1176B4.zip
020104_4	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/869B1B1DF3FF42249471DA080C1176B4.zip
020104_5	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/61967BB559094E59A12020FDE6459E9D.zip
020104_5	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/61967BB559094E59A12020FDE6459E9D.zip
020104_5	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/61967BB559094E59A12020FDE6459E9D.zip
020104_5	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/61967BB559094E59A12020FDE6459E9D.zip
020105_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/52EF92DF632A43DD894BC62D3584F1B1.zip
020105_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/52EF92DF632A43DD894BC62D3584F1B1.zip
020105_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/52EF92DF632A43DD894BC62D3584F1B1.zip
020105_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/52EF92DF632A43DD894BC62D3584F1B1.zip
020106_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/F33CDCD280C14773B10DB8C51C5E1B98.zip
020106_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/F33CDCD280C14773B10DB8C51C5E1B98.zip
020106_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/F33CDCD280C14773B10DB8C51C5E1B98.zip
020106_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/F33CDCD280C14773B10DB8C51C5E1B98.zip
020201_1	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/EAA0164B5D844A9C90F58B79C9AFC613.zip
020201_1	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/EAA0164B5D844A9C90F58B79C9AFC613.zip
020201_1	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/EAA0164B5D844A9C90F58B79C9AFC613.zip
020201_1	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/EAA0164B5D844A9C90F58B79C9AFC613.zip
020202_1	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/D35DD6739A13486CB46A03F0C5EF8F29.zip
020202_1	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/D35DD6739A13486CB46A03F0C5EF8F29.zip
020202_1	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/D35DD6739A13486CB46A03F0C5EF8F29.zip
020202_1	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/D35DD6739A13486CB46A03F0C5EF8F29.zip
020203_4	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/DD99E2AFA65B4168ACA4F12DA88717B2.zip
020203_4	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/DD99E2AFA65B4168ACA4F12DA88717B2.zip
020203_4	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/DD99E2AFA65B4168ACA4F12DA88717B2.zip
020203_4	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/DD99E2AFA65B4168ACA4F12DA88717B2.zip
020203_5	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/EA1FCB3E2E5A482F9BCF5C8F49C21CC9.zip
020203_5	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/EA1FCB3E2E5A482F9BCF5C8F49C21CC9.zip
020203_5	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/EA1FCB3E2E5A482F9BCF5C8F49C21CC9.zip
020203_5	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/EA1FCB3E2E5A482F9BCF5C8F49C21CC9.zip
020204_1	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/CE61A7C7CA244DCFB5804DD79E129112.zip
020204_1	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/CE61A7C7CA244DCFB5804DD79E129112.zip
020204_1	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/CE61A7C7CA244DCFB5804DD79E129112.zip
020204_1	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/CE61A7C7CA244DCFB5804DD79E129112.zip
020205_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/1D51A38C027B4AEA9C6DB09094D85FD5.zip
020205_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/1D51A38C027B4AEA9C6DB09094D85FD5.zip
020205_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/1D51A38C027B4AEA9C6DB09094D85FD5.zip
020205_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/1D51A38C027B4AEA9C6DB09094D85FD5.zip
020206_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/2F902DF5534B41E6A0CF43BBBAE3B82E.zip
020206_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/2F902DF5534B41E6A0CF43BBBAE3B82E.zip
020206_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/2F902DF5534B41E6A0CF43BBBAE3B82E.zip
020206_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/2F902DF5534B41E6A0CF43BBBAE3B82E.zip
020207_4	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/0ECFD25A0C4B47DABEE073CD900DFE08.zip
020207_4	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/0ECFD25A0C4B47DABEE073CD900DFE08.zip
020207_4	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/0ECFD25A0C4B47DABEE073CD900DFE08.zip
020207_4	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/0ECFD25A0C4B47DABEE073CD900DFE08.zip
020207_5	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/4D306DCBF2724197A7655F65BCAA4B5B.zip
020207_5	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/4D306DCBF2724197A7655F65BCAA4B5B.zip
020207_5	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/4D306DCBF2724197A7655F65BCAA4B5B.zip
020207_5	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/4D306DCBF2724197A7655F65BCAA4B5B.zip
020301_1	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/271E21B30CBA47B58D7292EB562E7CD7.zip
020301_1	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/271E21B30CBA47B58D7292EB562E7CD7.zip
020301_1	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/271E21B30CBA47B58D7292EB562E7CD7.zip
020301_1	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/271E21B30CBA47B58D7292EB562E7CD7.zip
020302_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/059CBFFC3E944C1C8C656C332FA05564.zip
020302_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/059CBFFC3E944C1C8C656C332FA05564.zip
020302_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/059CBFFC3E944C1C8C656C332FA05564.zip
020302_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/059CBFFC3E944C1C8C656C332FA05564.zip
020303_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/2C70A56896B141A78A5DFE714B15D7F8.zip
020303_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/2C70A56896B141A78A5DFE714B15D7F8.zip
020303_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/2C70A56896B141A78A5DFE714B15D7F8.zip
020303_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/2C70A56896B141A78A5DFE714B15D7F8.zip
020304_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/CF51885011074E7F8A9041ACF16F39C9.zip
020304_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/CF51885011074E7F8A9041ACF16F39C9.zip
020304_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/CF51885011074E7F8A9041ACF16F39C9.zip
020304_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/CF51885011074E7F8A9041ACF16F39C9.zip
020305_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/7292AC63DA4D48F88ACA28E0392FEB41.zip
020305_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/7292AC63DA4D48F88ACA28E0392FEB41.zip
020305_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/7292AC63DA4D48F88ACA28E0392FEB41.zip
020305_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/7292AC63DA4D48F88ACA28E0392FEB41.zip
020306_2	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/9BCDA163F5544210BFF9EDB728EBD202.zip
020306_2	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/9BCDA163F5544210BFF9EDB728EBD202.zip
020306_2	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/9BCDA163F5544210BFF9EDB728EBD202.zip
020306_2	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/9BCDA163F5544210BFF9EDB728EBD202.zip
020401_4	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/CF02FD4BD6E24BA3A18F88ED6A766AA1.zip
020401_4	ZRA	https://mapy.zabytek.gov.pl/dane/ZRA/CF02FD4BD6E24BA3A18F88ED6A766AA1.zip
020401_4	ZEA	https://mapy.zabytek.gov.pl/dane/ZEA/CF02FD4BD6E24BA3A18F88ED6A766AA1.zip
020401_4	ZEN	https://mapy.zabytek.gov.pl/dane/ZEN/CF02FD4BD6E24BA3A18F88ED6A766AA1.zip
020401_5	ZRN	https://mapy.zabytek.gov.pl/dane/ZRN/D3D2AAD57E404408BEE30A027661FE18.zip
