id	JPT_KOD_JE	JPT_NAZWA	XCoord	YCoord
1	020101_1	Bolesławiec - gmina miejska	260710	385032
2	020102_2	Bolesławiec - gmina wiejska	259484	380540
3	020103_2	Gromadka - gmina wiejska	272791	388811
4	020104_4	Nowogrodziec - miasto	248884	377476
5	020104_5	Nowogrodziec - obszar wiejski	248047	381372
6	020105_2	Osiecznica - gmina wiejska	258541	409768
7	020106_2	Warta Bolesławiecka - gmina wiejska	272597	383011
8	020201_1	Bielawa - gmina miejska	329146	313183
9	020202_1	Dzierżoniów - gmina miejska	331504	322208
10	020203_4	Pieszyce - miasto	328031	316560
11	020203_5	Pieszyce - obszar wiejski	327773	318940
12	020204_1	Piława Górna - gmina miejska	341063	313462
13	020205_2	Dzierżoniów - gmina wiejska	331650	327839
14	020206_2	Łagiewniki - gmina wiejska	338782	328870
15	020207_4	Niemcza - miasto	349487	318948
16	020207_5	Niemcza - obszar wiejski	348422	315436
17	020301_1	Głogów - gmina miejska	296180	425755
18	020302_2	Głogów - gmina wiejska	306461	428171
19	020303_2	Jerzmanowa - gmina wiejska	291729	415041
20	020304_2	Kotla - gmina wiejska	293151	430774
21	020305_2	Pęcław - gmina wiejska	311531	421542
22	020306_2	Żukowice - gmina wiejska	286423	431864
23	020401_4	Góra - miasto	332254	425613
24	020401_5	Góra - obszar wiejski	327866	427867
25	020402_2	Jemielno - gmina wiejska	332852	408392
26	020403_2	Niechlów - gmina wiejska	324905	434346
27	020404_4	Wąsosz - miasto	340218	412942
28	020404_5	Wąsosz - obszar wiejski	344701	416643
29	020501_1	Jawor - gmina miejska	301977	358839
30	020502_4	Bolków - miasto	295660	343144
31	020502_5	Bolków - obszar wiejski	291898	349464
32	020503_2	Męcinka - gmina wiejska	292543	355870
33	020504_2	Mściwojów - gmina wiejska	311429	355686
34	020505_2	Paszowice - gmina wiejska	293320	354599
35	020506_2	Wądroże Wielkie - gmina wiejska	316557	361565
36	020601_1	Karpacz - gmina miejska	272915	327331
37	020602_1	Kowary - gmina miejska	275753	327246
38	020603_1	Piechowice - gmina miejska	260047	339925
39	020604_1	Szklarska Poręba - gmina miejska	245805	333284
40	020605_2	Janowice Wielkie - gmina wiejska	279121	345559
41	020606_2	Jeżów Sudecki - gmina wiejska	275034	346197
42	020607_2	Mysłakowice - gmina wiejska	280986	334811
43	020608_2	Podgórzyn - gmina wiejska	270378	335548
44	020609_2	Stara Kamienica - gmina wiejska	261963	346535
45	020701_1	Kamienna Góra - gmina miejska	292439	328360
46	020702_2	Kamienna Góra - gmina wiejska	287383	332943
47	020703_4	Lubawka - miasto	289659	318876
48	020703_5	Lubawka - obszar wiejski	288854	310623
49	020704_2	Marciszów - gmina wiejska	294257	335897
50	020801_1	Duszniki-Zdrój - gmina miejska	313439	283419
51	020802_1	Kłodzko - gmina miejska	332922	286343
52	020803_1	Kudowa-Zdrój - gmina miejska	305845	292898
53	020804_1	Nowa Ruda - gmina miejska	323248	307759
54	020805_1	Polanica-Zdrój - gmina miejska	323403	282818
55	020806_4	Bystrzyca Kłodzka - miasto	332796	274029
56	020806_5	Bystrzyca Kłodzka - obszar wiejski	326852	267910
57	020807_2	Kłodzko - gmina wiejska	335332	281149
58	020808_4	Lądek-Zdrój - miasto	347260	276100
59	020808_5	Lądek-Zdrój - obszar wiejski	347386	283630
60	020809_2	Lewin Kłodzki - gmina wiejska	306733	288109
61	020810_4	Międzylesie - miasto	334973	256022
62	020810_5	Międzylesie - obszar wiejski	328311	258785
63	020811_2	Nowa Ruda - gmina wiejska	320653	312508
64	020812_4	Radków - miasto	316148	294440
65	020812_5	Radków - obszar wiejski	319790	298582
66	020813_4	Stronie Śląskie - miasto	348984	272467
67	020813_5	Stronie Śląskie - obszar wiejski	352796	267517
68	020814_4	Szczytna - miasto	318246	285959
69	020814_5	Szczytna - obszar wiejski	313258	286921
70	020901_1	Chojnów - gmina miejska	285518	382070
71	020902_2	Chojnów - gmina wiejska	285476	386174
72	020903_2	Krotoszyce - gmina wiejska	296820	370048
73	020904_2	Kunice - gmina wiejska	305782	383855
74	020905_2	Legnickie Pole - gmina wiejska	307949	366132
75	020906_2	Miłkowice - gmina wiejska	299552	377507
76	020907_4	Prochowice - miasto	318045	380855
77	020907_5	Prochowice - obszar wiejski	313935	378535
78	020908_2	Ruja - gmina wiejska	320935	372153
79	021001_1	Lubań - gmina miejska	242228	368189
80	021002_1	Świeradów-Zdrój - gmina miejska	244870	343040
81	021003_4	Leśna - miasto	240118	359809
82	021003_5	Leśna - obszar wiejski	239044	352518
83	021004_2	Lubań - gmina wiejska	238996	364390
84	021005_4	Olszyna - miasto	246773	363078
85	021005_5	Olszyna - obszar wiejski	242905	360714
86	021006_2	Platerówka - gmina wiejska	229762	362785
87	021007_2	Siekierczyn - gmina wiejska	236486	366242
88	021101_1	Lubin - gmina miejska	305000	392130
89	021102_2	Lubin - gmina wiejska	298212	403339
90	021103_2	Rudna - gmina wiejska	314148	410340
91	021104_4	Ścinawa - miasto	321024	396338
92	021104_5	Ścinawa - obszar wiejski	317251	399576
93	021201_4	Gryfów Śląski - miasto	249851	357999
94	021201_5	Gryfów Śląski - obszar wiejski	249348	355225
95	021202_4	Lubomierz - miasto	255176	355550
96	021202_5	Lubomierz - obszar wiejski	259460	359012
97	021203_4	Lwówek Śląski - miasto	265720	367174
98	021203_5	Lwówek Śląski - obszar wiejski	262652	372619
99	021204_4	Mirsk - miasto	246623	350753
100	021204_5	Mirsk - obszar wiejski	250785	347624
101	021205_4	Wleń - miasto	265659	353836
102	021205_5	Wleń - obszar wiejski	262154	352841
103	021301_2	Cieszków - gmina wiejska	390107	419194
